fen,result
rnbq1rk1/5ppp/p2p1n2/2pP4/Rb2P3/2N2P2/1P1B2PP/3QKBNR w K - 1 11,1.0
rnbqrbk1/p1p2pp1/1p3n1p/3p4/3P4/2PB2N1/PP2NPPP/R1BQ1RK1 w - - 1 11,1.0
r3kb1r/pp1q1ppp/2n1p3/3pP3/3Pn3/5N2/PP2QPPP/RNB2RK1 w kq - 1 11,0.0
1nbq1rk1/5ppp/r1p1pn2/pp2N3/PbpP4/2B3P1/1P2PPBP/RN1Q1RK1 w - - 0 11,0.0
r1b1k2r/1p2bppp/pnpqpn2/4N3/3P1P2/1BN1B3/PPP3PP/R2QK2R w KQkq - 4 11,0.5
r1b1kb1r/pp1npppp/8/1B1pN3/3P4/8/PPP2PPP/R1B1K2R w KQkq - 4 11,1.0
r1bqk2r/pp2bppp/2n2n2/8/2Pp4/5NP1/PP3PBP/RNBQ1RK1 w kq - 0 11,0.5
r2q1rk1/1pp2pp1/2np1n1p/p1b1p3/4P3/1bPP1N1P/PP1N1PP1/R1BQR1K1 w - - 0 11,0.5
r1b1k2r/2pnqppp/1pp5/p3p3/2N1P3/3PPN2/PPP3PP/R2Q1RK1 w kq - 0 11,0.5
r1bq1k1r/pp2nppp/1bn1p3/1N1pP3/1P1p2Q1/P4N2/1BP2PPP/R3KB1R w KQ - 8 11,0.5
r1bqk2r/p2n1pb1/1pp3pp/2p1p3/4P3/2NPBN1P/PPPQ1PP1/R4RK1 w kq - 0 11,0.0
rn3rk1/pp2bpp1/2p1pn1p/2Pp1b2/3P4/1PN2NPP/1P2PPB1/R1B1K2R w KQ - 1 11,0.5
r1b1k2r/1p2bppp/p1n1p3/q1npP3/5P2/2N1BN2/PPP2QPP/R3KB1R w KQkq - 2 11,1.0
r4rk1/pp1nqppp/2pbpn2/3p3b/2P5/1PNPPN1P/PB2BPP1/R2Q1RK1 w - - 1 11,0.0
r2qk2r/pp2ppbp/2n1b1p1/2Pp4/3P1N2/2n1B3/PP3PPP/R2QKB1R w KQkq - 0 11,0.5
r1bq1rk1/ppp2pb1/5npp/4p3/2P1P3/2N1B3/PP2BPPP/R2Q1RK1 w - - 0 11,0.5
rn1q1rk1/pb2bppp/1p1pp3/3nP3/3P4/3B1N2/PP2QPPP/RNB2RK1 w - - 2 11,0.0
r1b2rk1/pp2ppbp/2n3p1/q1p5/3PP3/2P1BN1P/P3BPP1/R2QK2R w KQ - 5 11,0.5
rnb1r1k1/pp3pbp/1qp2np1/3p2B1/2P1P3/1NN2P2/PP2B1PP/R2QK2R w KQ - 0 11,1.0
r2q1rk1/pp3pb1/2npbnpp/2p1p3/2P5/1PNP2P1/PB1NPPBP/R2Q1RK1 w - - 2 11,0.5
r3k2r/pb1n1ppp/1qp1pn2/1p4B1/PbpP4/2N1PN2/1PQ1BPPP/R4RK1 w kq - 5 11,1.0
r1bqr1k1/ppp2ppp/2np1n2/8/4P3/2PB1N2/P1P2PPP/R1BQR1K1 w - - 0 11,0.5
r1q2rk1/pp1nbppp/2p1pn2/3p3b/2PP1B2/1QN2NPP/PP2PPB1/R4RK1 w - - 5 11,0.5
rnb2rk1/1p3ppp/p4n2/2qp4/8/2NBP3/PP2NPPP/R2QK2R w KQ - 0 11,1.0
r1bqkn1r/pp3pbp/2p3p1/2p5/4Pp2/2NP3P/PPP3PN/R1BQ1RK1 w kq - 0 11,1.0
r1b2rk1/pp3ppp/2n1pn2/2b5/8/2P2NP1/P2NPPBP/R1BR2K1 w - - 1 11,1.0
r2q1rk1/pbpn1pp1/1p2pn1p/3p4/2PP3B/P1Q1PP2/1P4PP/R3KBNR w KQ - 1 11,0.5
r1bq1rk1/pppn1pbp/3p2pn/4P3/2PQ1PP1/2N2N1P/PP6/R1B1KB1R w KQ - 1 11,1.0
r2qkb1r/1b1p1ppp/pp2p3/2nnP3/2NN4/1P1B4/P1P2PPP/R1BQ1RK1 w kq - 0 11,0.5
rnb1k2r/1p3ppp/pq2pn2/3P4/6P1/2N1b2P/PPP1NP2/R2QKB1R w KQkq - 0 11,1.0
r1b1k2r/pp1n1ppp/1q3n2/2bp4/8/PQN2N2/1P1BPPPP/R3KB1R w KQkq - 2 11,0.5
r2q1rk1/pbpn1pbp/3ppnp1/8/2PP4/5NP1/PB1NPPBP/R2Q1RK1 w - - 0 11,0.5
r3k2r/1pp1qppp/p1pb1n2/4p3/4P3/1P1P1N2/1PP2PPP/R1BQ1RK1 w kq - 1 11,0.5
r1b4r/1p1nkppp/p3pn2/2b1N3/8/4P3/PP2BPPP/RNB2RK1 w - - 4 11,0.5
r1bqkb2/pp2ppp1/2n2n2/3p3r/8/1P1Q1NP1/PBP1PPB1/RN3RK1 w q - 1 11,0.5
1rbq1rk1/2p1bppp/2np1n2/1p2p3/4P3/1BNPBN2/1PP2PPP/R2QK2R w KQ - 2 11,1.0
r1b1kb1r/pp3ppp/1q2p3/3pP3/1n1P4/4nN2/PP2BPPP/R1BQK2R w KQkq - 0 11,1.0
r1bqk2r/pp1n2pp/2pbp3/5p2/2pP4/3N2P1/PP1BPPBP/R2Q1RK1 w kq - 0 11,1.0
rnb1k2r/1p2nppp/p1p5/3q4/3PN3/3B1N2/PP3PPP/R2QK2R w KQkq - 3 11,0.5
r1bq1rk1/pp2ppbp/2n3p1/3n4/3N4/2N1BP2/PPPQ2PP/2KR1B1R w - - 0 11,0.5
r2q1rk1/pb2ppbp/1pn2np1/3p4/2PP4/1P1B1N2/PB1NQPPP/R3K2R w KQ - 0 11,0.0
r1bq1rk1/2p1bppp/p7/1p1nn3/8/1BP5/PP1P1PPP/RNBQR1K1 w - - 0 11,0.0
r2qk2r/pbn1ppbp/1pn3p1/2p5/8/P1NPB1P1/1P1NPPBP/R2QK2R w KQkq - 2 11,1.0
r1bq1rk1/p3ppbp/1pn3p1/2np4/7B/2P1PN2/PP1NBPPP/R2Q1RK1 w - - 0 11,0.5
rnbqr1k1/pp3pp1/2pb1p2/8/3P3p/2PB4/PPQ1NPPP/R1B2RK1 w - - 0 11,1.0
r2q1rk1/pp1nbppp/4pn2/2p1Nb2/2QP4/4P1P1/PP3PBP/RNB2RK1 w - - 2 11,0.0
r1bq1rk1/bpp2p2/2np1n1p/p3p1p1/2B1P3/2PP1NB1/PP1N1PPP/R2Q1RK1 w - - 2 11,1.0
rn1qkb1r/pp2npp1/2p1p3/3pP1Pp/3P3P/3QBP2/PPP5/RN2K1NR w KQkq - 1 11,1.0
r1bqk2r/4bp1p/p1pppp2/8/4P3/2N5/PPPQ1PPP/2KR1B1R w kq - 0 11,1.0
r2q1rk1/ppp1b1pp/1nn1bp2/4p3/1P6/P1N2NP1/3PPPBP/1RBQ1RK1 w - - 0 11,1.0
rnbqr1k1/1p3pbp/p2p1np1/2pP2B1/P1P5/2N5/1P1QBPPP/R3K1NR w KQ - 1 11,0.0
r2qkb1r/p1p2ppp/5n2/3p4/8/5Q2/PPP2PPP/RNB1K2R w KQkq - 0 11,1.0
r2qkb1r/1b1p1ppp/p1n1p3/8/p2NP3/1P6/1BP2PPP/RN1Q1RK1 w kq - 0 11,1.0
r2qk2r/ppp2ppp/1n2pn2/8/b1pPP3/2P1BN2/P1Q1BPPP/R4RK1 w kq - 1 11,1.0
rn2kb1r/1p2ppp1/p1q1bn2/2p4p/2N5/2N2PP1/PPPPB2P/R1BQK1R1 w Qkq - 1 11,0.0
r1bq1rk1/pp3ppp/4pn2/2b1B3/8/2N2Q2/PPP2PPP/R3KB1R w KQ - 1 11,1.0
r1b2rk1/ppqnbppp/2n1p3/2p5/2Pp1P2/1P1NP1P1/P2P2BP/RNBQ1RK1 w - - 3 11,0.0
r1bq1rk1/pp1nppbp/6p1/3pP3/8/3B1N1P/PPP2PP1/R1BQ1RK1 w - - 0 11,1.0
rnb2rk1/1p2qppp/2p2n2/p3N3/4pP2/PB1P4/1PPQ2PP/RN2K2R w KQ - 0 11,0.5
rnb1k2r/pp2qpbp/2pn2p1/3p4/3P4/4N1P1/PPP1QPBP/RNB2RK1 w kq - 2 11,1.0
rnbqr1k1/1p3pbp/3p1np1/pp2p3/2P5/3P1NP1/PB2PPBP/RN1Q1RK1 w - - 0 11,0.0
rn1r2k1/ppp2pbp/5np1/5b2/4p3/1P4P1/PBPNPPBP/RN3RK1 w - - 2 11,0.5
r1b1kb1r/3p1ppp/p1q1p3/1p1nP3/8/2NBB3/PPP1QPPP/R3K2R w KQkq - 1 11,0.5
r1bqk2r/p3npbp/3p2p1/2p1p3/1PPnP3/2N1BN2/P3BPPP/R2QK2R w KQkq - 1 11,1.0
r1bqk1nr/p3bpp1/2pp3p/2p1p2P/2N1P3/1P1P1N2/P1P2PP1/R1BQK2R w KQkq - 1 11,1.0
r2qr1k1/1pp2ppp/2nb4/p2npb2/8/P2P1NP1/1PPN1PBP/R1BQR1K1 w - - 2 11,1.0
rnbq1rk1/1p2bppp/p3pn2/8/2BN1B2/2P2N2/PP3PPP/R2QK2R w KQ - 0 11,0.5
r2qkb1r/pp1n1ppp/2n1p3/3p3b/3P2PN/2N4P/PP2PPB1/R1BQK2R w KQkq - 1 11,0.5
r1b2rk1/3nppbp/p1pp1np1/qp6/2PPP1P1/2N1BP2/PP1QN2P/2KR1B1R w - - 1 11,0.0
1rbq1rk1/pp2ppbp/3p1np1/8/2P5/2NQ2P1/PP2PPBP/R1B2RK1 w - - 2 11,0.0
r2q1rk1/p4ppp/2pb1n2/8/3P1pb1/2N2N2/PPP3PP/R1BQ1RK1 w - - 0 11,1.0
r1bqk2r/pp3ppp/2n1pn2/2b5/4Q3/5N1P/PPP1BPP1/RNB2RK1 w kq - 4 11,1.0
r3kb1r/ppqb1ppp/4pn2/2p5/8/2N1BQN1/PPP2PPP/R3K2R w KQkq - 1 11,0.0
r1b1k2r/ppp1qppp/2n1p3/2b1P3/2Bp4/8/PPPNQPPP/R1B2RK1 w kq - 4 11,1.0
r1bqk2r/pp3ppp/2n1pn2/3p4/2P5/P3PNB1/1P1b1PPP/R2QKB1R w KQkq - 0 11,0.0
r2qk2r/1b1nppbp/p5pn/1pP1p3/5P2/2NBBN2/PPP1Q1PP/R3K2R w KQkq - 0 11,0.5
2rq1rk1/pb1nbppp/1pp1pn2/3p4/2PP4/1PN2NP1/PBQ1PPBP/R4RK1 w - - 4 11,1.0
rn1q1rk1/4ppbp/3p1np1/2pP4/4P3/2N2NP1/PP3P1P/R1BQ1K1R w - - 1 11,1.0
r1bqkb1r/ppp2ppp/4n3/nP2P3/2Bp4/5N2/P4PPP/RNBQR1K1 w kq - 1 11,0.0
r1b2rk1/pp2bppp/2nqpn2/8/3P4/2N1BN2/PP1QBPPP/R3K2R w KQ - 6 11,0.5
r3kb1r/pp3ppp/4pn2/n2pNb2/8/2N3P1/PP1PPPBP/R1B2RK1 w kq - 0 11,1.0
r1bqr1k1/pp3ppp/2nb1n2/3p4/3N4/1P2P3/PB2BPPP/RN1Q1RK1 w - - 3 11,0.5
r1bq1rk1/2p2pbp/p1np1np1/1p6/3PP3/P4N1P/1PB2PP1/RNBQK2R w KQ - 1 11,0.5
r2qkb1r/3b1ppp/p2ppn2/np6/3NP3/1BN1B3/PPP1QPPP/2KR3R w kq - 2 11,0.5
r1bq1rk1/1p3pp1/p1n1pn1p/2b5/3pPB2/3B1N2/PPP1NPPP/R2Q1RK1 w - - 2 11,1.0
r2q1rk1/1p1nbppp/p2pbn2/4p3/4P3/1NN1BB2/PPP2PPP/R2Q1RK1 w - - 8 11,1.0
r3kb1r/pp2pppp/2n1q3/2pn4/P7/2P2N2/1P1P1PPP/RNBQ1RK1 w kq - 1 11,0.0
r2qr1k1/bpp2ppp/2npbn2/p3p3/P1B1P3/N1PP1N1P/1P3PP1/R1BQR1K1 w - - 3 11,1.0
r1bqk2r/1pp2pp1/2np1n1p/pN2p3/2B1P3/2PPbN2/PP3PPP/R2QR1K1 w kq - 0 11,1.0
r2qk2r/ppp2pb1/2n1pnp1/3pNb2/2PP4/1P4p1/PB1NPPBP/R2Q1RK1 w kq - 0 11,0.0
r1bqk2r/ppp1bppp/8/8/2Pnn3/6P1/PP1P1PBP/RNBQR1K1 w kq - 2 11,1.0
r1b2rk1/p1q1ppbp/2p2np1/8/2p5/6P1/PP2PPBP/RNBQ1RK1 w - - 0 11,0.5
r1bq1rk1/3nbpp1/1pp1pn1p/p1Pp4/1P1P1B2/P1N1PN1P/5PP1/R2QKB1R w KQ - 0 11,0.0
r2q1rk1/pp1nbpp1/2p1pnp1/3p4/2PP4/1P2PN2/P1QN1PPP/R1B2RK1 w - - 0 11,0.5
r1b1k2r/1pppqppp/2n5/4P3/1bP2Bn1/2N1PN2/PpQ1BPPP/R3K2R w KQkq - 0 11,1.0
rn1qk2r/1p2nppp/p1p5/3p4/3P1P2/2N2B2/PP3PPP/R2QK2R w KQkq - 1 11,0.0
r1bq1rk1/p3bppp/1pn1pn2/8/2BP4/P1NQ1N2/1P3PPP/R1B2RK1 w - - 0 11,1.0
r2qkb1r/ppp1n2p/2n3b1/3pp1N1/6P1/2N5/PPP2P1P/R1BQKB1R w KQkq - 1 11,1.0
1r1q1rk1/pppb1pp1/2np1n1p/1B2p3/3PP3/2P2N2/P1P2PPP/1RBQR1K1 w - - 3 11,0.0
r1bq1rk1/p1n1bppp/2n1p3/1pppP3/8/3P1NP1/PPP2PBP/R1BQRNK1 w - - 3 11,1.0
r1bk3r/pp1n1ppp/2p1p3/4P3/5B2/2b5/PPP2PPP/2KR1B1R w - - 0 11,1.0
r1b1k2r/pp3ppp/2n1pn2/2P5/1bp5/2N2NP1/PP2PPBP/R1BqR1K1 w kq - 2 11,1.0
r1bq1rk1/1p1nppbp/2p3p1/p2p4/2PP4/2n1BNPP/PP2PPB1/R1Q2RK1 w - - 0 11,1.0
r3kb1r/ppq2ppp/2n1pnb1/3p4/3P3N/1QN1PP2/PP1B2PP/R3KB1R w KQkq - 2 11,1.0
r1bq1rk1/4npbp/1pn1p1p1/p1ppP3/5B2/2PP1NP1/PP3PBP/RN1QR1K1 w - - 0 11,0.5
r1b1k2r/p1pnqpbp/1p3np1/4p3/4P3/1P3NP1/P1P1QPBP/RNBR2K1 w kq - 0 11,1.0
r2qkb1r/1b3ppp/p1n1pn2/1p6/3p4/P1N1PN2/BP2QPPP/R1B2RK1 w kq - 0 11,0.5
r2qkb1r/pb3ppp/2p1pn2/1p2N3/8/3B4/PPPPQPPP/R1B1K2R w KQkq - 2 11,0.0
rn3rk1/pp2bpp1/2p1pn1p/2Pp1b2/3P4/1PN2NP1/1P2PPBP/R1B2RK1 w - - 1 11,0.5
r2qkbnr/1p3ppp/p1n1p1b1/4P3/3p1PP1/2N3N1/PPP2Q1P/R1B1KB1R w KQkq - 0 11,1.0
2rqk2r/pp1nbppp/2n1p3/1B1p1b2/3P1B2/2N1PN2/PP3PPP/2RQ1RK1 w k - 6 11,0.5
r3kb1r/p4ppp/2p1bn2/4p3/8/4N3/PPP2PPP/R1B1KB1R w KQkq - 2 11,0.5
r1b1k2r/1pp1n1pp/p1pb1q2/4N3/3Q4/8/PPPN1PPP/R1B2RK1 w kq - 3 11,0.0
rn3rk1/pp2bppp/2p1pn2/2Pp4/3PbB2/1PN2NPP/1P2PP2/R3KB1R w KQ - 1 11,0.5
r1bq1rk1/1p2bppp/p1n1pn2/8/P1BP4/2N2N2/1P1Q1PPP/R1B2RK1 w - - 3 11,0.5
r1bqr1k1/1pp2pp1/pbnp1n1p/4p3/1PB1P3/2PP1N1P/P2N1PP1/R1BQR1K1 w - - 0 11,0.5
r2qkb1r/pp3ppp/2n2n2/2p1p3/3pP3/3P1QPP/PPP2PB1/RNB2RK1 w kq - 2 11,0.0
r1b2rk1/ppqn1ppp/4pn2/2p5/3P4/P1P1PN2/4BPPP/R1BQK2R w KQ - 4 11,1.0
r1bq1rk1/ppp2ppp/2np1n2/8/2P1P3/4NP2/PP4PP/RN1QKB1R w KQ - 0 11,1.0
r1bqk2r/4bppp/p1p2n2/3p4/8/2PB4/PP3PPP/RNBQR1K1 w kq - 0 11,1.0
r3k2r/2pqbppp/p1n1b3/1p1pP3/4n3/1BP1BN2/PP3PPP/RN1Q1RK1 w kq - 3 11,1.0
r3kb1r/1bpnqp1p/pp1pp1p1/8/P1NPn3/4PNB1/1PP1BPPP/R2Q1RK1 w kq - 4 11,0.0
r2q1rk1/p1pnbppp/1pb1pn2/8/P2P4/3B1N2/1PPN1PPP/R1BQR1K1 w - - 1 11,1.0
rn1qk2r/1bp1bp1p/p3p3/1p3p2/3P4/2N2NP1/PPP2PBP/R2QK2R w KQkq - 2 11,0.5
r1bq1rk1/3nbppp/p4n2/1ppp4/3P4/1PN1PNP1/PB3PBP/R2QK2R w KQ - 0 11,1.0
r1bq1rk1/1pp2pb1/3p1npp/p1nPp3/2P1P2B/2N5/PP1NBPPP/R2QK2R w KQ - 2 11,1.0
r2q1rk1/ppp2ppp/2n1p3/3n4/3P4/PQb1PP2/1P1B1P1P/R3KB1R w KQ - 0 11,1.0
r1bqr1k1/pp1nbpp1/2pp1n1p/8/P1BpP3/2N1BN1P/1PP2PP1/R2QR1K1 w - - 0 11,0.5
r1b1kb1r/1pq2pp1/p1p2n2/4p2p/4P3/2N3Q1/PPP1BPPP/R1B2RK1 w kq - 0 11,1.0
r1b1kb1r/1p1q1ppp/p1n1p3/1B1n4/3N4/2P1BN2/PP3PPP/R2QK2R w KQkq - 0 11,0.0
r1b1k2r/ppp2p1p/5p2/4p3/1b6/1PNP1q2/1PP2PPP/R3K1NR w KQkq - 0 11,1.0
r3kb1r/1p2nppp/p7/2pp1b2/1n6/1PN2NP1/PBPP1P1P/2KR1B1R w kq - 4 11,1.0
r2q1rk1/ppp2ppp/5n2/3Pp3/1b6/2N2QPP/PPPP1P2/R1B2RK1 w - - 3 11,0.5
r3k2r/ppqb1ppp/2nbpn2/3p4/3P4/1QPB1N1P/PP3PP1/RNB1R1K1 w kq - 2 11,0.0
r1bq1rk1/1p1n1pbp/p2p1np1/2pP4/P3P3/2N5/1P1NBPPP/R1BQK2R w KQ - 3 11,0.5
r1bq1rk1/ppn2pbp/3p1np1/2pP4/4P3/2N5/PP1NBPPP/R1BQ1RK1 w - - 5 11,0.0
rnbqr1k1/pp3p1p/3p1npb/2pP4/2P5/2NBBN1P/PP3PP1/R2QK2R w KQ - 3 11,0.5
rn2kb1r/1bqn1ppp/p2pp3/1p4P1/3NPP2/P1N2Q2/1PP4P/R1B1KB1R w KQkq - 1 11,0.5
r1bq1rk1/pp3ppp/2n2b2/2pp4/3Pn3/1PN2NP1/PB2PPBP/R2Q1RK1 w - - 5 11,1.0
r1bq1rk1/pp2nppp/2nb4/1B1p4/8/2P1BN2/PP3PPP/RN1QR1K1 w - - 2 11,1.0
r2qkb1r/1b1n1ppp/p3pn2/2p5/Pp1P4/1Q3NP1/1P2PPBP/RNB2RK1 w kq - 0 11,0.5
rnbqrbk1/pp3pp1/2p2n1p/3p4/3P4/2NBP1BP/PP3PP1/R2QK1NR w KQ - 1 11,0.0
rnbq1rk1/pp2bppp/2p1p3/8/3PNP2/4n3/PPPQ2PP/2KR1BNR w - - 0 11,1.0
rn1qkb1r/1b3ppp/pn1pp3/1p4P1/3NP3/P1N1BP2/1PP4P/R2QKB1R w KQkq - 3 11,0.5
r2q1rk1/pp2bppp/2npbn2/2p1p3/P3P3/N1PP1N2/BP3PPP/R1BQR1K1 w - - 3 11,1.0
r1b1k2r/pp1n1ppp/8/q1pp4/3PnB2/PQb1PN2/1P3PPP/2R1KB1R w Kkq - 0 11,0.0
r2q1rk1/pbpnppbp/3p1np1/8/2PP1B2/2NB1N2/PP3PPP/R2QR1K1 w - - 2 11,0.5
r2qkbnr/3n1ppp/2p1p1b1/1p1pP3/3P4/1QP1BN2/P3BPPP/RN3RK1 w kq - 0 11,0.5
r1b1r1k1/1pqnbppp/2pp1n2/p3p3/P2PP3/2NBBN1P/1PP2PP1/R2QR1K1 w - - 2 11,0.0
r2q1rk1/ppp2pbp/2npb1p1/3N1n2/2PN4/4B1P1/PP2PPBP/R2Q1RK1 w - - 5 11,1.0
